date,account_number,amount,type,memo,account_currency,account_type,account_name,category_main,category_sub,category_sub2,details,data_source
2011-02-13,ACCOUNT_CURRENT,-2.86,PAYMENT,COSTA COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-13,ACCOUNT_CURRENT,-24.73,PAYMENT,NATIONAL LOTTERY,£,Current Account,Current,Leisure,entertainment,,,synthetic
2011-02-13,ACCOUNT_CURRENT,-68.51,PAYMENT,SHELL SERVICE STN,£,Current Account,Current,Transport,Automotive,Petrol,,synthetic
2011-02-13,ACCOUNT_CURRENT,-7.10,PAYMENT,STEAM GAMES PURCHASE 6664,£,Current Account,Current,Missing,,,,synthetic
2011-02-14,ACCOUNT_CURRENT,-3.68,PAYMENT,BLACK SHEEP COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-14,ACCOUNT_CURRENT,-3.60,PAYMENT,KAFFEINE LONDON,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-14,ACCOUNT_CURRENT,-40.73,PAYMENT,OYSTERCARD TOPUP,£,Current Account,Current,Transport,tube,,,synthetic
2011-02-15,ACCOUNT_CURRENT,-22.24,PAYMENT,CABVISION NETWORK,£,Current Account,Current,Transport,taxi,,,synthetic
2011-02-15,ACCOUNT_CURRENT,-23.75,PAYMENT,CABVISION NETWORK,£,Current Account,Current,Transport,taxi,,,synthetic
2011-02-15,ACCOUNT_CURRENT,-6.14,PAYMENT,JUSTPARK.COM,£,Current Account,Current,Transport,Automotive,parking & fees,,synthetic
2011-02-15,ACCOUNT_CURRENT,-16.38,PAYMENT,STARS POKER,£,Current Account,Current,Leisure,entertainment,,,synthetic
2011-02-15,ACCOUNT_CURRENT,-21.64,DD,VODAFONE LTD,£,Current Account,Current,Bills,utilities,Mobile Phone,,synthetic
2011-02-16,ACCOUNT_CURRENT,-57.59,TFR,CLEANER_A,£,Current Account,Current,Bills,Household,cleaner,,synthetic
2011-02-16,ACCOUNT_CURRENT,-8.57,PAYMENT,JUSTPARK.COM,£,Current Account,Current,Transport,Automotive,parking & fees,,synthetic
2011-02-17,ACCOUNT_CURRENT,-4.93,PAYMENT,BLANK STREET COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-17,ACCOUNT_CURRENT,-7.00,PAYMENT,NISA LOCAL,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-17,ACCOUNT_CURRENT,-19.26,PAYMENT,VERIFONE TAXI,£,Current Account,Current,Transport,taxi,,,synthetic
2011-02-17,ACCOUNT_CURRENT,-44.85,PAYMENT,VITAL INGREDIENT,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-02-18,ACCOUNT_CURRENT,-81.71,PAYMENT,DELIVEROO,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-02-18,ACCOUNT_CURRENT,-8.42,PAYMENT,PAYBYPHONE PARKING,£,Current Account,Current,Transport,Automotive,parking & fees,,synthetic
2011-02-18,ACCOUNT_CURRENT,-6.11,PAYMENT,PRET A MANGER,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-02-18,ACCOUNT_CURRENT,-9.04,PAYMENT,YOUR LOCAL STORE,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-19,ACCOUNT_CURRENT,-9.93,PAYMENT,NATIONAL LOTTERY,£,Current Account,Current,Leisure,entertainment,,,synthetic
2011-02-19,ACCOUNT_CURRENT,-67.00,PAYMENT,WAGAMAMA SOHO 1522,£,Current Account,Current,Missing,,,,synthetic
2011-02-20,ACCOUNT_AMEX,-58.08,PAYMENT,VITAL INGREDIENT,£,Credit Card,Amex,Leisure,food/drinks,restaurant,,synthetic
2011-02-20,ACCOUNT_CURRENT,-12.47,DD,TV LICENSE MTHLY,£,Current Account,Current,Bills,utilities,TV License,,synthetic
2011-02-20,ACCOUNT_CURRENT,-7.99,PAYMENT,YOUR LOCAL STORE,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-21,ACCOUNT_CURRENT,-166.77,PAYMENT,B & Q WAREHOUSE,£,Current Account,Current,House,Maintenance,TBC,TBC,synthetic
2011-02-21,ACCOUNT_CURRENT,-6.43,PAYMENT,SUPERSAVE LONDON,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-21,ACCOUNT_CURRENT,-36.35,PAYMENT,TFL TRAVEL CH,£,Current Account,Current,Transport,tube,,,synthetic
2011-02-22,ACCOUNT_CURRENT,-81.51,PAYMENT,JAZZ WINE MART,£,Current Account,Current,Shopping,Groceries,wine,,synthetic
2011-02-22,ACCOUNT_CURRENT,-10.90,PAYMENT,SUPERSAVE LONDON,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-23,ACCOUNT_CURRENT,-20.30,PAYMENT,CABVISION NETWORK,£,Current Account,Current,Transport,taxi,,,synthetic
2011-02-23,ACCOUNT_CURRENT,-54.15,TFR,CLEANER_A,£,Current Account,Current,Bills,Household,cleaner,,synthetic
2011-02-23,ACCOUNT_CURRENT,-22.30,PAYMENT,THE OLD NICK,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-02-24,ACCOUNT_CURRENT,-200.00,CASH,CASH WITHDRAWAL ATM,£,Current Account,Current,Withdrawal,,,,synthetic
2011-02-24,ACCOUNT_CURRENT,-28.76,PAYMENT,EBAY UK,£,Current Account,Current,Shopping,Household,,,synthetic
2011-02-24,ACCOUNT_CURRENT,-24.01,PAYMENT,HOMESENSE LONDON,£,Current Account,Current,Shopping,Household,,,synthetic
2011-02-24,ACCOUNT_CURRENT,-4.97,PAYMENT,PRET A MANGER,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-24,ACCOUNT_CURRENT,-8.06,PAYMENT,SAVERS HEALTH & BE,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-25,ACCOUNT_CURRENT,3169.60,FPI,COMPANY_A SALARY,£,Current Account,Current,Income,Salary,,,synthetic
